text,devanagari,label
s्phur्ti,स्फूर्ती,positive
s्phoor्thee,स्फूर्ती,positive
S्PHOOR्TEE,स्फूर्ती,positive
उt्sah,उत्साह,positive
उt्saah,उत्साह,positive
उT्SAAH,उत्साह,positive
josh,जोश,positive
jhosh,जोश,positive
JOSH,जोश,positive
jos,जोश,positive
SुNDR,सुंदर,positive
sुndr,सुंदर,positive
rm्y,रम्य,positive
RM्Y,रम्य,positive
Mnohr,मनोहर,positive
mnohr,मनोहर,positive
mnmohk,मनमोहक,positive
Mnmohk,मनमोहक,positive
आkr्sk,आकर्षक,positive
आKr्Shk,आकर्षक,positive
आkr्shk,आकर्षक,positive
lुbhavn,लुभावन,positive
lुbhaavn,लुभावन,positive
LुBHAAVN,लुभावन,positive
MOHK,मोहक,positive
mohk,मोहक,positive
chिt्tthr,चित्तथर,positive
cिt्tthr,चित्तथर,positive
CHिT्TTHR,चित्तथर,positive
hृdyngm,हृदयंगम,positive
HृDYNGM,हृदयंगम,positive
HृDys्Pr्Shee,हृदयस्पर्शी,positive
hृdys्pr्see,हृदयस्पर्शी,positive
hृdys्pr्shi,हृदयस्पर्शी,positive
hृdys्pr्shee,हृदयस्पर्शी,positive
sुvasिk,सुवासिक,positive
sुvaasिk,सुवासिक,positive
SुVAASिK,सुवासिक,positive
SुGNDHEE,सुगंधी,positive
sुgndhi,सुगंधी,positive
sुgndhee,सुगंधी,positive
mdhुr,मधुर,positive
MdhुR,मधुर,positive
SुREL,सुरेल,positive
sुrel,सुरेल,positive
mdhुrs्vr,मधुरस्वर,positive
MDHुRS्VR,मधुरस्वर,positive
taalbd्dh,तालबद्ध,positive
TAALBD्DH,तालबद्ध,positive
thaalbd्dh,तालबद्ध,positive
talbd्dh,तालबद्ध,positive
LYBD्DH,लयबद्ध,positive
lybd्dh,लयबद्ध,positive
sुsngt,सुसंगत,positive
SुSngt,सुसंगत,positive
SुSj्J,सुसज्ज,positive
sुsj्j,सुसज्ज,positive
sjhaavthee,सजावटी,positive
Sjaavtee,सजावटी,positive
sjavti,सजावटी,positive
sjaavtee,सजावटी,positive
hुshar,हुशार,positive
hुshaar,हुशार,positive
hुsaar,हुशार,positive
HुSHAAR,हुशार,positive
chlakh,चलाख,positive
Chlaakh,चलाख,positive
chlaakh,चलाख,positive
claakh,चलाख,positive
bुd्dhiman,बुद्धीमान,positive
bुd्dheemaan,बुद्धीमान,positive
BुD्Dheemaan,बुद्धीमान,positive
vिchaarvaan,विचारवान,positive
vिcaarvaan,विचारवान,positive
vिcharvan,विचारवान,positive
VिCHAARVAAN,विचारवान,positive
TR्KSHुD्DH,तर्कशुद्ध,positive
tr्kshुd्dh,तर्कशुद्ध,positive
tr्ksुd्dh,तर्कशुद्ध,positive
VिVEKEE,विवेकी,positive
vिvekhee,विवेकी,positive
vिveki,विवेकी,positive
vिvekee,विवेकी,positive
J्Ynaanee,ज्ञानी,positive
j्ynani,ज्ञानी,positive
j्ynaanee,ज्ञानी,positive
PndिT,पंडित,positive
pndिt,पंडित,positive
vिd्van,विद्वान,positive
VिD्VAAN,विद्वान,positive
vिd्vaan,विद्वान,positive
sिk्sिt,शिक्षित,positive
shिk्shिt,शिक्षित,positive
SHिK्SHिT,शिक्षित,positive
अNुBhvee,अनुभवी,positive
अnुbhvi,अनुभवी,positive
अnुbhvee,अनुभवी,positive
p्raaveen्y,प्रावीण्य,positive
P्RAAVEEN्Y,प्रावीण्य,positive
p्ravin्y,प्रावीण्य,positive
nिpुnthaa,निपुणता,positive
nिpुntaa,निपुणता,positive
NिPुNTAA,निपुणता,positive
nिpुnta,निपुणता,positive
kausl्y,कौशल्य,positive
khaushl्y,कौशल्य,positive
kaushl्y,कौशल्य,positive
Kaushl्Y,कौशल्य,positive
ksb,कसब,positive
KSB,कसब,positive
HुNr,हुनर,positive
hुnr,हुनर,positive
klaa,कला,positive
kla,कला,positive
KLAA,कला,positive
vिd्yaa,विद्या,positive
vिd्ya,विद्या,positive
VिD्YAA,विद्या,positive
saas्t्r,शास्त्र,positive
shaas्t्r,शास्त्र,positive
Shaas्T्R,शास्त्र,positive
shas्t्r,शास्त्र,positive
Tnt्R,तंत्र,positive
tnt्r,तंत्र,positive
sh्rimnt,श्रीमंत,positive
sh्reemnt,श्रीमंत,positive
Sh्Reemnt,श्रीमंत,positive
s्reemnt,श्रीमंत,positive
dhnvaan,धनवान,positive
dhnvan,धनवान,positive
Dhnvaan,धनवान,positive
SNPN्N,संपन्न,positive
snpn्n,संपन्न,positive
smृd्dh,समृद्ध,positive
SMृD्DH,समृद्ध,positive
vaibhvshaalee,वैभवशाली,positive
Vaibhvshaalee,वैभवशाली,positive
vaibhvshali,वैभवशाली,positive
vaibhvsaalee,वैभवशाली,positive
ऐs्vr्yvaan,ऐश्वर्यवान,positive
ऐsh्vr्yvaan,ऐश्वर्यवान,positive
ऐSh्Vr्Yvaan,ऐश्वर्यवान,positive
ऐsh्vr्yvan,ऐश्वर्यवान,positive
bhaag्ysaalee,भाग्यशाली,positive
bhag्yshali,भाग्यशाली,positive
Bhaag्Yshaalee,भाग्यशाली,positive
bhaag्yshaalee,भाग्यशाली,positive
sुdaivi,सुदैवी,positive
SुDaivee,सुदैवी,positive
sुdhaivee,सुदैवी,positive
sुdaivee,सुदैवी,positive
nshibvan,नशीबवान,positive
nsheebvaan,नशीबवान,positive
nseebvaan,नशीबवान,positive
NSHEEBVAAN,नशीबवान,positive
labhdayk,लाभदायक,positive
Laabhdaayk,लाभदायक,positive
laabhdhaayk,लाभदायक,positive
laabhdaayk,लाभदायक,positive
PHAAYDESHEER,फायदेशीर,positive
phaaydhesheer,फायदेशीर,positive
phaydeshir,फायदेशीर,positive
phaaydesheer,फायदेशीर,positive
phaaydeseer,फायदेशीर,positive
nph्yaachen,नफ्याचें,positive
nph्yachen,नफ्याचें,positive
Nph्Yaachen,नफ्याचें,positive
nph्yaacen,नफ्याचें,positive
उT्PN्N,उत्पन्न,positive
उt्pn्n,उत्पन्न,positive
आy,आय,positive
आY,आय,positive
V्Yvsaay,व्यवसाय,positive
v्yvsay,व्यवसाय,positive
v्yvsaay,व्यवसाय,positive
v्yapar,व्यापार,positive
v्yaaphaar,व्यापार,positive
v्yaapaar,व्यापार,positive
V्YAAPAAR,व्यापार,positive
उD्YOG,उद्योग,positive
उd्yog,उद्योग,positive
dhndho,धंदो,positive
DHNDO,धंदो,positive
dhndo,धंदो,positive
rojghaar,रोजगार,positive
rojgaar,रोजगार,positive
rojgar,रोजगार,positive
ROJGAAR,रोजगार,positive
mait्ripur्n,मैत्रीपूर्ण,positive
Mait्Reepoor्N,मैत्रीपूर्ण,positive
mait्reepoor्n,मैत्रीपूर्ण,positive
mait्reephoor्n,मैत्रीपूर्ण,positive
SHKAAREE,सहकारी,positive
shkaaree,सहकारी,positive
shkari,सहकारी,positive
skaaree,सहकारी,positive
shkhaaree,सहकारी,positive
shay्yk,सहाय्यक,positive
SHAAY्YK,सहाय्यक,positive
saay्yk,सहाय्यक,positive
shaay्yk,सहाय्यक,positive
उpkhaaree,उपकारी,positive
उpkari,उपकारी,positive
उpkaaree,उपकारी,positive
उPkaaree,उपकारी,positive
hिtaishi,हितैषी,positive
hिtaisee,हितैषी,positive
hिtaishee,हितैषी,positive
hिthaishee,हितैषी,positive
HिTaishee,हितैषी,positive
mdtgaar,मदतगार,positive
mdtghaar,मदतगार,positive
mdtgar,मदतगार,positive
MDTGAAR,मदतगार,positive
shay्y,सहाय्य,positive
saay्y,सहाय्य,positive
SHAAY्Y,सहाय्य,positive
shaay्y,सहाय्य,positive
skaar,सहकार,positive
shkaar,सहकार,positive
shkhaar,सहकार,positive
shkar,सहकार,positive
SHKAAR,सहकार,positive
shbhaag,सहभाग,positive
sbhaag,सहभाग,positive
shbhag,सहभाग,positive
SHBHAAG,सहभाग,positive
syog,सहयोग,positive
Shyog,सहयोग,positive
shyog,सहयोग,positive
vिnm्r,विनम्र,positive
VिNM्R,विनम्र,positive
nm्r,नम्र,positive
Nm्R,नम्र,positive
Sbh्Y,सभ्य,positive
sbh्y,सभ्य,positive
SHिSH्T,शिष्ट,positive
shिsh्t,शिष्ट,positive
sिs्t,शिष्ट,positive
sुsns्kृt,सुसंस्कृत,positive
SुSNS्KृT,सुसंस्कृत,positive
Sbh्Ytaa,सभ्यता,positive
sbh्yta,सभ्यता,positive
sbh्ytaa,सभ्यता,positive
sbh्ythaa,सभ्यता,positive
sns्kar,संस्कार,positive
sns्kaar,संस्कार,positive
sns्khaar,संस्कार,positive
Sns्Kaar,संस्कार,positive
seel,शील,positive
shil,शील,positive
SHEEL,शील,positive
sheel,शील,positive
ChaarिT्R्Y,चारित्र्य,positive
caarिt्r्y,चारित्र्य,positive
charिt्r्y,चारित्र्य,positive
chaarिt्r्y,चारित्र्य,positive
SD्GुN,सद्गुण,positive
sd्gुn,सद्गुण,positive
Velevr,वेळेवर,positive
velevr,वेळेवर,positive
tat्pुrten,तात्पुरतें,positive
thaat्pुrthen,तात्पुरतें,positive
taat्pुrten,तात्पुरतें,positive
TAAT्PुRTEN,तात्पुरतें,positive
t्vrिt,त्वरित,positive
T्VrिT,त्वरित,positive
jld,जलद,positive
JLD,जलद,positive
jhpat्yan,झपाट्यान,positive
jhpaat्yaan,झपाट्यान,positive
jhphaat्yaan,झपाट्यान,positive
Jhpaat्Yaan,झपाट्यान,positive
t्vre,त्वरे,positive
T्Vre,त्वरे,positive
seegh्r,शीघ्र,positive
sheegh्r,शीघ्र,positive
shigh्r,शीघ्र,positive
SHEEGH्R,शीघ्र,positive
LVKR,लवकर,positive
lvkr,लवकर,positive
ST्VR,सत्वर,positive
st्vr,सत्वर,positive
अvिlnb,अविलंब,positive
अVिLnb,अविलंब,positive
kaar्yk्shm,कार्यक्षम,positive
khaar्yk्shm,कार्यक्षम,positive
Kaar्Yk्Shm,कार्यक्षम,positive
kar्yk्shm,कार्यक्षम,positive
kaar्yk्sm,कार्यक्षम,positive
kar्ykुshl,कार्यकुशळ,positive
kaar्ykुsl,कार्यकुशळ,positive
khaar्ykुshl,कार्यकुशळ,positive
kaar्ykुshl,कार्यकुशळ,positive
KAAR्YKुSHL,कार्यकुशळ,positive
Dk्Sh,दक्ष,positive
dk्s,दक्ष,positive
dk्sh,दक्ष,positive
sk्sm,सक्षम,positive
SK्SHM,सक्षम,positive
sk्shm,सक्षम,positive
saamr्th्yvaan,सामर्थ्यवान,positive
Saamr्Th्Yvaan,सामर्थ्यवान,positive
samr्th्yvan,सामर्थ्यवान,positive
yog्y,योग्य,positive
YOG्Y,योग्य,positive
उpyुk्t,उपयुक्त,positive
उPyुK्T,उपयुक्त,positive
अnुkhool,अनुकूल,positive
अnुkul,अनुकूल,positive
अNुKool,अनुकूल,positive
अnुkool,अनुकूल,positive
soyees्kr,सोयीस्कर,positive
SOYEES्KR,सोयीस्कर,positive
soyis्kr,सोयीस्कर,positive
dुhkhi,दुःखी,negative
dुhkhee,दुःखी,negative
DुHkhee,दुःखी,negative
KhिN्N,खिन्न,negative
khिn्n,खिन्न,negative
उDAAS,उदास,negative
उdaas,उदास,negative
उdhaas,उदास,negative
उdas,उदास,negative
nिraas,निराश,negative
nिraash,निराश,negative
nिrash,निराश,negative
NिRAASH,निराश,negative
hthaash,हताश,negative
Htaash,हताश,negative
htaas,हताश,negative
htaash,हताश,negative
htash,हताश,negative
NAAउMED,नाउमेद,negative
naaउmed,नाउमेद,negative
naउmed,नाउमेद,negative
nिrुt्sah,निरुत्साह,negative
NिRुT्SAAH,निरुत्साह,negative
nिrुt्saah,निरुत्साह,negative
उdhaaseen,उदासीन,negative
उDaaseen,उदासीन,negative
उdasin,उदासीन,negative
उdaaseen,उदासीन,negative
nिs्thej,निस्तेज,negative
nिs्tej,निस्तेज,negative
NिS्TEJ,निस्तेज,negative
mnd,मंद,negative
MND,मंद,negative
k्rodh,क्रोध,negative
K्Rodh,क्रोध,negative
rag,राग,negative
raag,राग,negative
Raag,राग,negative
Sntaap,संताप,negative
snthaap,संताप,negative
sntap,संताप,negative
sntaap,संताप,negative
ChिDchिD,चिडचिड,negative
chिdchिd,चिडचिड,negative
cिdcिd,चिडचिड,negative
KHVLLELEN,खवळलेलें,negative
khvllelen,खवळलेलें,negative
उD्VEG,उद्वेग,negative
उd्veg,उद्वेग,negative
अS्VS्TH,अस्वस्थ,negative
अs्vs्th,अस्वस्थ,negative
अsaant,अशांत,negative
अshant,अशांत,negative
अshaant,अशांत,negative
अSHAANT,अशांत,negative
अs्thिr,अस्थिर,negative
अS्ThिR,अस्थिर,negative
अsntुlिt,असंतुलित,negative
अSNTुLिT,असंतुलित,negative
BHEETEE,भीती,negative
bheethee,भीती,negative
bheetee,भीती,negative
bhiti,भीती,negative
DR,डर,negative
dr,डर,negative
dhaak,धाक,negative
Dhaak,धाक,negative
dhak,धाक,negative
bhy,भय,negative
BHY,भय,negative
T्Raas,त्रास,negative
t्raas,त्रास,negative
t्ras,त्रास,negative
ghabrn,घाबरण,negative
GHAABRN,घाबरण,negative
ghaabrn,घाबरण,negative
Snkoch,संकोच,negative
snkoc,संकोच,negative
snkhoch,संकोच,negative
snkoch,संकोच,negative
LAAJ,लाज,negative
laaj,लाज,negative
laj,लाज,negative
srm,शरम,negative
SHRM,शरम,negative
shrm,शरम,negative
snbh्rm,संभ्रम,negative
SNBH्RM,संभ्रम,negative
अpyshi,अपयशी,negative
अpyshee,अपयशी,negative
अPYSHEE,अपयशी,negative
अpysee,अपयशी,negative
अsphl,असफल,negative
अSphl,असफल,negative
praabhoot,पराभूत,negative
prabhut,पराभूत,negative
Praabhoot,पराभूत,negative
HRNAAREN,हरणारें,negative
hrnaren,हरणारें,negative
hrnaaren,हरणारें,negative
tot्yachen,तोट्याचें,negative
tot्yaacen,तोट्याचें,negative
tot्yaachen,तोट्याचें,negative
Tot्Yaachen,तोट्याचें,negative
thot्yaachen,तोट्याचें,negative
nुksanichen,नुकसानीचें,negative
NुKSAANEECHEN,नुकसानीचें,negative
nुksaaneechen,नुकसानीचें,negative
nुksaaneecen,नुकसानीचें,negative
Haaneekaark,हानीकारक,negative
haaneekhaark,हानीकारक,negative
haaneekaark,हानीकारक,negative
hanikark,हानीकारक,negative
ghatk,घातक,negative
ghaatk,घातक,negative
GHAATK,घातक,negative
vिnashk,विनाशक,negative
VिNaashk,विनाशक,negative
vिnaask,विनाशक,negative
vिnaashk,विनाशक,negative
nashk,नाशक,negative
Naashk,नाशक,negative
naashk,नाशक,negative
naask,नाशक,negative
अdchn,अडचण,negative
अDchn,अडचण,negative
अdcn,अडचण,negative
अpghaat,अपघात,negative
अPghaat,अपघात,negative
अpghat,अपघात,negative
आpt्tee,आपत्ती,negative
आPT्TEE,आपत्ती,negative
आpt्ti,आपत्ती,negative
आpt्thee,आपत्ती,negative
snkt,संकट,negative
Snkt,संकट,negative
vिpt्thee,विपत्ती,negative
VिPt्Tee,विपत्ती,negative
vिpt्tee,विपत्ती,negative
vिpt्ti,विपत्ती,negative
आPht,आफत,negative
आpht,आफत,negative
mुseebt,मुसीबत,negative
MुSEEBT,मुसीबत,negative
mुsibt,मुसीबत,negative
ks्t,कष्ट,negative
ksh्t,कष्ट,negative
KSH्T,कष्ट,negative
yatna,यातना,negative
YAATNAA,यातना,negative
yaatnaa,यातना,negative
NिKृSH्T,निकृष्ट,negative
nिkृsh्t,निकृष्ट,negative
nिkृs्t,निकृष्ट,negative
hlken,हलकें,negative
HLKEN,हलकें,negative
hlkhen,हलकें,negative
TुCH्CHH,तुच्छ,negative
tुc्ch,तुच्छ,negative
tुch्chh,तुच्छ,negative
nich,नीच,negative
neec,नीच,negative
Neech,नीच,negative
neech,नीच,negative
KMEE,कमी,negative
kmee,कमी,negative
kmi,कमी,negative
अpुren,अपुरें,negative
अPुREN,अपुरें,negative
अPOOR्N,अपूर्ण,negative
अpur्n,अपूर्ण,negative
अphoor्n,अपूर्ण,negative
अpoor्n,अपूर्ण,negative
अr्dvt,अर्दवट,negative
अR्Dvt,अर्दवट,negative
अdhुren,अधुरें,negative
अDhुRen,अधुरें,negative
TुTpुNjen,तुटपुंजें,negative
tुtpुnjhen,तुटपुंजें,negative
tुtpुnjen,तुटपुंजें,negative
khothen,खोटें,negative
KHOTEN,खोटें,negative
khoten,खोटें,negative
अSt्Y,असत्य,negative
अst्y,असत्य,negative
BH्RMJNK,भ्रमजनक,negative
bh्rmjnk,भ्रमजनक,negative
dिshaabhool,दिशाभूल,negative
DिSHAABHOOL,दिशाभूल,negative
dिsaabhool,दिशाभूल,negative
dिshabhul,दिशाभूल,negative
ghothaalaa,घोटाळा,negative
ghotala,घोटाळा,negative
GHOTAALAA,घोटाळा,negative
ghotaalaa,घोटाळा,negative
phsvnook,फसवणूक,negative
PHSVNOOK,फसवणूक,negative
phsvnuk,फसवणूक,negative
chl,छल,negative
CHHL,छल,negative
chhl,छल,negative
Kpt,कपट,negative
kpt,कपट,negative
dhur्t,धूर्त,negative
dhoor्t,धूर्त,negative
DHOOR्T,धूर्त,negative
CHTुR,चतुर,negative
ctुr,चतुर,negative
chtुr,चतुर,negative
आjari,आजारी,negative
आjaaree,आजारी,negative
आJAAREE,आजारी,negative
आjhaaree,आजारी,negative
RुG्N,रुग्ण,negative
rुg्n,रुग्ण,negative
dुr्bl,दुर्बल,negative
DुR्BL,दुर्बल,negative
KmkुVt,कमकुवत,negative
kmkुvt,कमकुवत,negative
अshk्t,अशक्त,negative
अsk्t,अशक्त,negative
अShk्T,अशक्त,negative
nिhshk्t,निःशक्त,negative
NिHshk्T,निःशक्त,negative
nिhsk्t,निःशक्त,negative
अpng,अपंग,negative
अPng,अपंग,negative
VिKLAANG,विकलांग,negative
vिklaang,विकलांग,negative
vिklang,विकलांग,negative
rogg्rs्t,रोगग्रस्त,negative
ROGG्RS्T,रोगग्रस्त,negative
Thklelen,थकलेलें,negative
thklelen,थकलेलें,negative
ShिNlelen,शिणलेलें,negative
shिnlelen,शिणलेलें,negative
sिnlelen,शिणलेलें,negative
K्Laant,क्लांत,negative
k्lant,क्लांत,negative
k्laant,क्लांत,negative
t्rs्t,त्रस्त,negative
T्RS्T,त्रस्त,negative
pidिt,पीडित,negative
pheedिt,पीडित,negative
peedिt,पीडित,negative
