text,devanagari,label,type
बळिsh्ट,बळिश्ट,positive,word
बळिsa्ट,बळिश्ट,positive,word
बळिś्ट,बळिश्ट,positive,word
बळिs्ट,बळिश्ट,positive,word
तaaकदवaaन,ताकदवान,positive,word
तāकदवāन,ताकदवान,positive,word
तahकदवaन,ताकदवान,positive,word
तahकदवāन,ताकदवान,positive,word
तāकदवaन,ताकदवान,positive,word
shक्तिshaaलee,शक्तिशाली,positive,word
sक्तिsaलie,शक्तिशाली,positive,word
sक्तिśāलī,शक्तिशाली,positive,word
SAक्तिSAलIE,शक्तिशाली,positive,word
shक्तिshaलi,शक्तिशाली,positive,word
जōरदāर,जोरदार,positive,word
जohरदahर,जोरदार,positive,word
जowरदahर,जोरदार,positive,word
जoरदaaर,जोरदार,positive,word
धiट,धीट,positive,word
धīट,धीट,positive,word
धeeट,धीट,positive,word
ŚOUर,शूर,positive,word
shooर,शूर,positive,word
shaouर,शूर,positive,word
śouर,शूर,positive,word
souर,शूर,positive,word
परaaक्रमi,पराक्रमी,positive,word
परāक्रमee,पराक्रमी,positive,word
परaक्रमī,पराक्रमी,positive,word
परāक्रमie,पराक्रमी,positive,word
परaaक्रमee,पराक्रमी,positive,word
वieर,वीर,positive,word
वIर,वीर,positive,word
वīर,वीर,positive,word
वeeर,वीर,positive,word
सaaहसee,साहसी,positive,word
सāहसie,साहसी,positive,word
सAHहसI,साहसी,positive,word
सAहसI,साहसी,positive,word
सāहसi,साहसी,positive,word
धĀडसI,धाडसी,positive,word
धaaडसi,धाडसी,positive,word
धahडसī,धाडसी,positive,word
धaaडसee,धाडसी,positive,word
धaडसie,धाडसी,positive,word
sāṃत,शांत,positive,word
saṃत,शांत,positive,word
shaanत,शांत,positive,word
SHAĀṂत,शांत,positive,word
shaānत,शांत,positive,word
स्वस्थ,स्वस्थ,positive,word
निवaamत,निवांत,positive,word
निवANत,निवांत,positive,word
निवaanत,निवांत,positive,word
निवānत,निवांत,positive,word
निवahnत,निवांत,positive,word
गmभiर,गंभीर,positive,word
गnभieर,गंभीर,positive,word
गnभeeर,गंभीर,positive,word
गnभīर,गंभीर,positive,word
गNभĪर,गंभीर,positive,word
स्थिर,स्थिर,positive,word
धeeर,धीर,positive,word
धieर,धीर,positive,word
धĪर,धीर,positive,word
धIर,धीर,positive,word
सnयमī,संयमी,positive,word
सnयमee,संयमी,positive,word
सṃयमee,संयमी,positive,word
सnयमi,संयमी,positive,word
विचahरī,विचारी,positive,word
विचāरi,विचारी,positive,word
विचaरi,विचारी,positive,word
विचaaरee,विचारी,positive,word
समजūतदāर,समजूतदार,positive,word
समजuतदaर,समजूतदार,positive,word
समजooतदaaर,समजूतदार,positive,word
समजūतदaर,समजूतदार,positive,word
समजuतदāर,समजूतदार,positive,word
बुद्धिवaन,बुद्धिवान,positive,word
बुद्धिवāन,बुद्धिवान,positive,word
बुद्धिवaaन,बुद्धिवान,positive,word
उपयoगi,उपयोगी,positive,word
उपयoगee,उपयोगी,positive,word
उपयowगī,उपयोगी,positive,word
फāयदeysaiर,फायदेशीर,positive,word
फaaयदēśieर,फायदेशीर,positive,word
फāयदēśieर,फायदेशीर,positive,word
फaaयदesheeर,फायदेशीर,positive,word
फahयदayshaiर,फायदेशीर,positive,word
लAभदAयक,लाभदायक,positive,word
लahभदahयक,लाभदायक,positive,word
लahभदaयक,लाभदायक,positive,word
लaaभदaaयक,लाभदायक,positive,word
हितकahरक,हितकारक,positive,word
हितकaरक,हितकारक,positive,word
हितकāरक,हितकारक,positive,word
हितकaaरक,हितकारक,positive,word
कल्यāणकaरi,कल्याणकारी,positive,word
कल्यāणकahरi,कल्याणकारी,positive,word
कल्यahणकaरie,कल्याणकारी,positive,word
कल्यaaणकaaरee,कल्याणकारी,positive,word
कल्यahणकāरee,कल्याणकारी,positive,word
मmगल,मंगल,positive,word
मNगल,मंगल,positive,word
मMगल,मंगल,positive,word
मnगल,मंगल,positive,word
shुभ,शुभ,positive,word
saुभ,शुभ,positive,word
sुभ,शुभ,positive,word
Sुभ,शुभ,positive,word
भAHग्यŚAAलIE,भाग्यशाली,positive,word
भaaग्यshaaलee,भाग्यशाली,positive,word
भaग्यśaलie,भाग्यशाली,positive,word
भaaग्यshāलi,भाग्यशाली,positive,word
भahग्यsaāलi,भाग्यशाली,positive,word
सुदaiवee,सुदैवी,positive,word
सुदaiवi,सुदैवी,positive,word
सुदayवie,सुदैवी,positive,word
सुदaiवie,सुदैवी,positive,word
नsheeबवaaन,नशीबवान,positive,word
नsiबवaaन,नशीबवान,positive,word
नsieबवaन,नशीबवान,positive,word
नshaiबवāन,नशीबवान,positive,word
नshieबवaaन,नशीबवान,positive,word
स्वस्त,स्वस्त,positive,word
सवलत,सवलत,positive,word
मoफत,मोफत,positive,word
मōफत,मोफत,positive,word
मohफत,मोफत,positive,word
किफaयतsīर,किफायतशीर,positive,word
किफAयतŚIर,किफायतशीर,positive,word
किफaaयतsheeर,किफायतशीर,positive,word
किफĀयतSAĪर,किफायतशीर,positive,word
किफaaयतsaieर,किफायतशीर,positive,word
लaभaचēm,लाभाचें,positive,word
लahभāचayn,लाभाचें,positive,word
लaaभāचeym,लाभाचें,positive,word
लāभaaचayṃ,लाभाचें,positive,word
लaaभaaचen,लाभाचें,positive,word
मooल्यवaaन,मूल्यवान,positive,word
मouल्यवāन,मूल्यवान,positive,word
मūल्यवaन,मूल्यवान,positive,word
मūल्यवāन,मूल्यवान,positive,word
अमouल्य,अमूल्य,positive,word
अमooल्य,अमूल्य,positive,word
अनमOHल,अनमोल,positive,word
अनमohल,अनमोल,positive,word
अनमōल,अनमोल,positive,word
अनमoल,अनमोल,positive,word
दुर्मिळ,दुर्मिळ,positive,word
विshaaysh,विशेष,positive,word
विseyssa,विशेष,positive,word
विsaysh,विशेष,positive,word
विsays,विशेष,positive,word
विshesh,विशेष,positive,word
आधुनिक,आधुनिक,positive,word
नवēṃ,नवें,positive,word
नवen,नवें,positive,word
नवēn,नवें,positive,word
नवeṃ,नवें,positive,word
तaaजen,ताजें,positive,word
तāजeyn,ताजें,positive,word
तaजēm,ताजें,positive,word
तaजēṃ,ताजें,positive,word
तरुण,तरुण,positive,word
युवAH,युवा,positive,word
युवaa,युवा,positive,word
युवah,युवा,positive,word
युवa,युवा,positive,word
चayतन्य,चैतन्य,positive,word
चaiतन्य,चैतन्य,positive,word
चAIतन्य,चैतन्य,positive,word
चaeतन्य,चैतन्य,positive,word
सजieव,सजीव,positive,word
सजeeव,सजीव,positive,word
सजiव,सजीव,positive,word
प्रāणवāन,प्राणवान,positive,word
प्रaaणवaaन,प्राणवान,positive,word
प्रaणवāन,प्राणवान,positive,word
प्रāणवahन,प्राणवान,positive,word
उत्सaहī,उत्साही,positive,word
उत्सaहi,उत्साही,positive,word
उत्सaaहee,उत्साही,positive,word
उत्सahहi,उत्साही,positive,word
जowमदaर,जोमदार,positive,word
जoमदaaर,जोमदार,positive,word
जōमदāर,जोमदार,positive,word
जohमदahर,जोमदार,positive,word
जoमदaर,जोमदार,positive,word
पaरnपaरिक,पारंपारिक,positive,word
पahरmपahरिक,पारंपारिक,positive,word
पaरmपaरिक,पारंपारिक,positive,word
पaaरnपaaरिक,पारंपारिक,positive,word
पaरnपāरिक,पारंपारिक,positive,word
प्रahचīन,प्राचीन,positive,word
प्रaaचieन,प्राचीन,positive,word
प्रaचiन,प्राचीन,positive,word
प्रaaचeeन,प्राचीन,positive,word
पुरaaतन,पुरातन,positive,word
पुरaतन,पुरातन,positive,word
पुरahतन,पुरातन,positive,word
saś्वत,शाश्वत,positive,word
shahś्वत,शाश्वत,positive,word
sas्वत,शाश्वत,positive,word
shaash्वत,शाश्वत,positive,word
saaś्वत,शाश्वत,positive,word
स्थaaयee,स्थायी,positive,word
स्थAयI,स्थायी,positive,word
स्थaयi,स्थायी,positive,word
स्थahयi,स्थायी,positive,word
टिकaऊ,टिकाऊ,positive,word
टिकAऊ,टिकाऊ,positive,word
टिकaaऊ,टिकाऊ,positive,word
दiर्घकahलieन,दीर्घकालीन,positive,word
दiर्घकāलīन,दीर्घकालीन,positive,word
दeeर्घकaaलeeन,दीर्घकालीन,positive,word
दieर्घकaलiन,दीर्घकालीन,positive,word
दIEर्घकAलIEन,दीर्घकालीन,positive,word
चिरस्थaaयee,चिरस्थायी,positive,word
चिरस्थaयi,चिरस्थायी,positive,word
चिरस्थāयī,चिरस्थायी,positive,word
चिरस्थāयee,चिरस्थायी,positive,word
चिरस्थāयi,चिरस्थायी,positive,word
अखmड,अखंड,positive,word
अखnड,अखंड,positive,word
अखṃड,अखंड,positive,word
अविरत,अविरत,positive,word
वahयट,वायट,negative,word
वaaयट,वायट,negative,word
वAयट,वायट,negative,word
वāयट,वायट,negative,word
विक्रaळ,विक्राळ,negative,word
विक्रāळ,विक्राळ,negative,word
विक्रaaळ,विक्राळ,negative,word
विक्रAAळ,विक्राळ,negative,word
खरahब,खराब,negative,word
खरaब,खराब,negative,word
खरaaब,खराब,negative,word
अवघड,अवघड,negative,word
त्रaस,त्रास,negative,word
त्रaaस,त्रास,negative,word
कnटaळah,कंटाळा,negative,word
कnटaaळaa,कंटाळा,negative,word
कnटaळā,कंटाळा,negative,word
कNटĀळĀ,कंटाळा,negative,word
भिरaanत,भिरांत,negative,word
भिरamत,भिरांत,negative,word
भिरāṃत,भिरांत,negative,word
भिरanत,भिरांत,negative,word
भिरahnत,भिरांत,negative,word
उदĀस,उदास,negative,word
उदaaस,उदास,negative,word
उदaस,उदास,negative,word
उदāस,उदास,negative,word
दुhखie,दुःखी,negative,word
दुahखi,दुःखी,negative,word
दुahaखi,दुःखी,negative,word
दुhखee,दुःखी,negative,word
दुḥखi,दुःखी,negative,word
खिन्न,खिन्न,negative,word
निरahsha,निराश,negative,word
निरaash,निराश,negative,word
निरahś,निराश,negative,word
निरāsa,निराश,negative,word
निरahsh,निराश,negative,word
हतaash,हताश,negative,word
हतahś,हताश,negative,word
हतAHŚ,हताश,negative,word
हतĀSHA,हताश,negative,word
हतāś,हताश,negative,word
नaउमeyद,नाउमेद,negative,word
नAउमEYद,नाउमेद,negative,word
नĀउमAYद,नाउमेद,negative,word
नāउमeद,नाउमेद,negative,word
नaaउमeद,नाउमेद,negative,word
निरुत्सaaह,निरुत्साह,negative,word
निरुत्सahह,निरुत्साह,negative,word
निरुत्सāह,निरुत्साह,negative,word
निरुत्सaह,निरुत्साह,negative,word
उदAसĪन,उदासीन,negative,word
उदāसīन,उदासीन,negative,word
उदaसīन,उदासीन,negative,word
उदāसieन,उदासीन,negative,word
उदaaसeeन,उदासीन,negative,word
निस्तeज,निस्तेज,negative,word
निस्तeyज,निस्तेज,negative,word
निस्तayज,निस्तेज,negative,word
मnद,मंद,negative,word
मṃद,मंद,negative,word
मNद,मंद,negative,word
सुस्त,सुस्त,negative,word
आळsi,आळशी,negative,word
आळshai,आळशी,negative,word
आळshee,आळशी,negative,word
आळSHAI,आळशी,negative,word
आळsaee,आळशी,negative,word
निठुर,निठुर,negative,word
क्रooर,क्रूर,negative,word
क्रOUर,क्रूर,negative,word
क्रuर,क्रूर,negative,word
निर्दय,निर्दय,negative,word
कठŌर,कठोर,negative,word
कठowर,कठोर,negative,word
कठOHर,कठोर,negative,word
कठoर,कठोर,negative,word
कडक,कडक,negative,word
रāक्ṣसie,राक्षसी,negative,word
रaक्sshaसī,राक्षसी,negative,word
रaक्ssaसie,राक्षसी,negative,word
रaaक्shसee,राक्षसी,negative,word
रaक्sसi,राक्षसी,negative,word
भयṃकर,भयंकर,negative,word
भयnकर,भयंकर,negative,word
भeeतeeदaaयक,भीतीदायक,negative,word
भIEतIEदAयक,भीतीदायक,negative,word
भĪतIEदĀयक,भीतीदायक,negative,word
भīतiदaयक,भीतीदायक,negative,word
भiतiदāयक,भीतीदायक,negative,word
डरāवन,डरावन,negative,word
डरaaवन,डरावन,negative,word
घoर,घोर,negative,word
घŌर,घोर,negative,word
घōर,घोर,negative,word
भयaaण,भयाण,negative,word
भयaण,भयाण,negative,word
भयāण,भयाण,negative,word
भयahण,भयाण,negative,word
कमie,कमी,negative,word
कमi,कमी,negative,word
कमee,कमी,negative,word
कमī,कमी,negative,word
कमEE,कमी,negative,word
अपुरen,अपुरें,negative,word
अपुरeyṃ,अपुरें,negative,word
अपुरayṃ,अपुरें,negative,word
अपुरeym,अपुरें,negative,word
अपुरēn,अपुरें,negative,word
अपuर्ण,अपूर्ण,negative,word
अपūर्ण,अपूर्ण,negative,word
अपooर्ण,अपूर्ण,negative,word
अर्दवट,अर्दवट,negative,word
अधुरem,अधुरें,negative,word
अधुरen,अधुरें,negative,word
अधुरayṃ,अधुरें,negative,word
अधुरayn,अधुरें,negative,word
तुटपुnजayn,तुटपुंजें,negative,word
तुटपुnजen,तुटपुंजें,negative,word
तुटपुnजeṃ,तुटपुंजें,negative,word
तुटपुnजaym,तुटपुंजें,negative,word
निकृssha्ट,निकृष्ट,negative,word
निकृsh्ट,निकृष्ट,negative,word
निकृṣ्ट,निकृष्ट,negative,word
निकृssa्ट,निकृष्ट,negative,word
निकृs्ट,निकृष्ट,negative,word
हलकeṃ,हलकें,negative,word
हलकen,हलकें,negative,word
हलकem,हलकें,negative,word
हलकeyṃ,हलकें,negative,word
तुच्छ,तुच्छ,negative,word
नiच,नीच,negative,word
नieच,नीच,negative,word
नeeच,नीच,negative,word
महaग,महाग,negative,word
महaaग,महाग,negative,word
महahग,महाग,negative,word
अमर्यāद,अमर्याद,negative,word
अमर्यahद,अमर्याद,negative,word
अमर्यaद,अमर्याद,negative,word
अमर्यaaद,अमर्याद,negative,word
असṃबद्ध,असंबद्ध,negative,word
असnबद्ध,असंबद्ध,negative,word
असṂबद्ध,असंबद्ध,negative,word
अव्यवस्थित,अव्यवस्थित,negative,word
गOWṂधळ,गोंधळ,negative,word
गonधळ,गोंधळ,negative,word
गomधळ,गोंधळ,negative,word
गōnधळ,गोंधळ,negative,word
अरaaजक,अराजक,negative,word
अरAजक,अराजक,negative,word
अरāजक,अराजक,negative,word
अरahजक,अराजक,negative,word
अनियमित,अनियमित,negative,word
असुरक्sित,असुरक्षित,negative,word
असुरक्ssaित,असुरक्षित,negative,word
असुरक्shित,असुरक्षित,negative,word
धoकaदāयक,धोकादायक,negative,word
धoकaदaयक,धोकादायक,negative,word
धohकahदaयक,धोकादायक,negative,word
धōकāदaaयक,धोकादायक,negative,word
धoकaaदaaयक,धोकादायक,negative,word
जowखमī,जोखमी,negative,word
जowखमi,जोखमी,negative,word
जoखमee,जोखमी,negative,word
जOHखमĪ,जोखमी,negative,word
जOखमĪ,जोखमी,negative,word
फसवayṃ,फसवें,negative,word
फसवeṃ,फसवें,negative,word
फसवēn,फसवें,negative,word
फसवen,फसवें,negative,word
भ्रमित,भ्रमित,negative,word
गaiरसमज,गैरसमज,negative,word
दिśāभooल,दिशाभूल,negative,word
दिshaaभooल,दिशाभूल,negative,word
दिsaभūल,दिशाभूल,negative,word
दिsahभouल,दिशाभूल,negative,word
घoटaaळaa,घोटाळा,negative,word
घohटaळaa,घोटाळा,negative,word
घohटaळā,घोटाळा,negative,word
घoटahळaa,घोटाळा,negative,word
घōटāळā,घोटाळा,negative,word
फसवणooक,फसवणूक,negative,word
फसवणūक,फसवणूक,negative,word
फसवणUक,फसवणूक,negative,word
फसवणuक,फसवणूक,negative,word
छल,छल,negative,word
कपट,कपट,negative,word
धŪर्त,धूर्त,negative,word
धooर्त,धूर्त,negative,word
धūर्त,धूर्त,negative,word
धuर्त,धूर्त,negative,word
चतुर,चतुर,negative,word
दुर्गnधee,दुर्गंधी,negative,word
दुर्गnधī,दुर्गंधी,negative,word
दुर्गṃधi,दुर्गंधी,negative,word
दुर्गnधie,दुर्गंधी,negative,word
दुर्गmधī,दुर्गंधी,negative,word
कुजिल्लeyn,कुजिल्लें,negative,word
कुजिल्लen,कुजिल्लें,negative,word
कुजिल्लEM,कुजिल्लें,negative,word
कुजिल्लAYN,कुजिल्लें,negative,word
सडिल्लEN,सडिल्लें,negative,word
सडिल्लen,सडिल्लें,negative,word
सडिल्लeym,सडिल्लें,negative,word
सडिल्लEM,सडिल्लें,negative,word
घaaण,घाण,negative,word
घaण,घाण,negative,word
घAAण,घाण,negative,word
घahण,घाण,negative,word
मळ,मळ,negative,word
मaiल,मैल,negative,word
मaeल,मैल,negative,word
अshुद्ध,अशुद्ध,negative,word
अśुद्ध,अशुद्ध,negative,word
अSAुद्ध,अशुद्ध,negative,word
अSुद्ध,अशुद्ध,negative,word
अपवित्र,अपवित्र,negative,word
अस्पṣ्ट,अस्पष्ट,negative,word
अस्पsh्ट,अस्पष्ट,negative,word
अस्पssa्ट,अस्पष्ट,negative,word
अस्पS्ट,अस्पष्ट,negative,word
अस्पs्ट,अस्पष्ट,negative,word
गōnधळलēलayṃ,गोंधळलेलें,negative,word
गonधळलeलen,गोंधळलेलें,negative,word
गōṃधळलayलēm,गोंधळलेलें,negative,word
गownधळलēलēn,गोंधळलेलें,negative,word
अनaaकर्shक,अनाकर्षक,negative,word
अनāकर्ssaक,अनाकर्षक,negative,word
अनaकर्ṣक,अनाकर्षक,negative,word
अनaaकर्sक,अनाकर्षक,negative,word
अनāकर्sक,अनाकर्षक,negative,word
कुरooप,कुरूप,negative,word
कुरOUप,कुरूप,negative,word
कुरuप,कुरूप,negative,word
कुरUप,कुरूप,negative,word
विरुप,विरुप,negative,word
विकृत,विकृत,negative,word
अस्वaaभahविक,अस्वाभाविक,negative,word
अस्वaaभaaविक,अस्वाभाविक,negative,word
अस्वaभaविक,अस्वाभाविक,negative,word
अस्वAभAविक,अस्वाभाविक,negative,word
अस्वāभaविक,अस्वाभाविक,negative,word
अप्रahकृतिक,अप्राकृतिक,negative,word
अप्रaकृतिक,अप्राकृतिक,negative,word
अप्रaaकृतिक,अप्राकृतिक,negative,word
असnवeदनsaieल,असंवेदनशील,negative,word
असNवAYदनSHAĪल,असंवेदनशील,negative,word
असmवeyदनśiल,असंवेदनशील,negative,word
असnवeदनsheeल,असंवेदनशील,negative,word
असnवayदनshaīल,असंवेदनशील,negative,word
बeshरम,बेशरम,negative,word
बeysरम,बेशरम,negative,word
बeyshरम,बेशरम,negative,word
बĒSHरम,बेशरम,negative,word
बayshरम,बेशरम,negative,word
निर्लज्ज,निर्लज्ज,negative,word
धृsh्ट,धृष्ट,negative,word
धृs्ट,धृष्ट,negative,word
धृṣ्ट,धृष्ट,negative,word
नकoh,नको,negative,word
नकo,नको,negative,word
नकō,नको,negative,word
अनaaवsh्यक,अनावश्यक,negative,word
अनĀवS्यक,अनावश्यक,negative,word
अनāवsa्यक,अनावश्यक,negative,word
अनaवs्यक,अनावश्यक,negative,word
निरुपयowगī,निरुपयोगी,negative,word
निरुपयohगi,निरुपयोगी,negative,word
निरुपयoगī,निरुपयोगी,negative,word
निरुपयoगee,निरुपयोगी,negative,word
व्यर्थ,व्यर्थ,negative,word
निरर्थक,निरर्थक,negative,word
फुकट,फुकट,negative,word
वAAयĀ गAYल्लAYN,वाया गेल्लें,negative,word
वaयa गēल्लayn,वाया गेल्लें,negative,word
वaaयaa गeल्लen,वाया गेल्लें,negative,word
वahयa गayल्लeyṃ,वाया गेल्लें,negative,word
वaयa गeyल्लeyn,वाया गेल्लें,negative,word
हāनiकaरक,हानीकारक,negative,word
हĀनIEकĀरक,हानीकारक,negative,word
हaaनeeकaaरक,हानीकारक,negative,word
हahनīकaaरक,हानीकारक,negative,word
हahनeeकaaरक,हानीकारक,negative,word
हĀनIE,हानी,negative,word
हāनi,हानी,negative,word
हahनie,हानी,negative,word
हāनie,हानी,negative,word
हaaनee,हानी,negative,word
नुकसahन,नुकसान,negative,word
नुकसaन,नुकसान,negative,word
नुकसaaन,नुकसान,negative,word
नुकसĀन,नुकसान,negative,word
नुकसāन,नुकसान,negative,word
सaधahरण,साधारण,neutral,word
सaaधahरण,साधारण,neutral,word
सaaधaaरण,साधारण,neutral,word
सāधāरण,साधारण,neutral,word
मध्यम,मध्यम,neutral,word
सahमaन्य,सामान्य,neutral,word
सahमaaन्य,सामान्य,neutral,word
सaaमaaन्य,सामान्य,neutral,word
सaमaन्य,सामान्य,neutral,word
घट,घट,neutral,word
वaaड,वाड,neutral,word
वĀड,वाड,neutral,word
वaड,वाड,neutral,word
बदल,बदल,neutral,word
परिवर्तन,परिवर्तन,neutral,word
फरक,फरक,neutral,word
तफahवत,तफावत,neutral,word
तफāवत,तफावत,neutral,word
तफAHवत,तफावत,neutral,word
तफaaवत,तफावत,neutral,word
अṃतर,अंतर,neutral,word
अnतर,अंतर,neutral,word
आकaर,आकार,neutral,word
आकahर,आकार,neutral,word
आकāर,आकार,neutral,word
आकaaर,आकार,neutral,word
प्रमaण,प्रमाण,neutral,word
प्रमahण,प्रमाण,neutral,word
प्रमaaण,प्रमाण,neutral,word
प्रमāण,प्रमाण,neutral,word
परिमaaण,परिमाण,neutral,word
परिमāण,परिमाण,neutral,word
परिमaण,परिमाण,neutral,word
परिमahण,परिमाण,neutral,word
मāप,माप,neutral,word
मaaप,माप,neutral,word
मAAप,माप,neutral,word
मaप,माप,neutral,word
तowल,तोल,neutral,word
तOHल,तोल,neutral,word
तOल,तोल,neutral,word
तoल,तोल,neutral,word
वजन,वजन,neutral,word
घनतa,घनता,neutral,word
घनतaa,घनता,neutral,word
घनतā,घनता,neutral,word
घनफळ,घनफळ,neutral,word
क्sheत्र,क्षेत्र,neutral,word
क्SSAEYत्र,क्षेत्र,neutral,word
क्sayत्र,क्षेत्र,neutral,word
क्ssaēत्र,क्षेत्र,neutral,word
क्sshaēत्र,क्षेत्र,neutral,word
विस्तaर,विस्तार,neutral,word
विस्तaaर,विस्तार,neutral,word
विस्तāर,विस्तार,neutral,word
कĀळ,काळ,neutral,word
कaaळ,काळ,neutral,word
कaळ,काळ,neutral,word
वeyळ,वेळ,neutral,word
वĒळ,वेळ,neutral,word
वeळ,वेळ,neutral,word
समय,समय,neutral,word
तahस,तास,neutral,word
तĀस,तास,neutral,word
तaaस,तास,neutral,word
तaस,तास,neutral,word
मिनIट,मिनीट,neutral,word
मिनeeट,मिनीट,neutral,word
मिनEEट,मिनीट,neutral,word
मिनiट,मिनीट,neutral,word
सeकmद,सेकंद,neutral,word
सAYकMद,सेकंद,neutral,word
सeकnद,सेकंद,neutral,word
दieस,दीस,neutral,word
दĪस,दीस,neutral,word
दiस,दीस,neutral,word
दeeस,दीस,neutral,word
रĀत,रात,neutral,word
रaaत,रात,neutral,word
रaत,रात,neutral,word
म्हयनOH,म्हयनो,neutral,word
म्हयनo,म्हयनो,neutral,word
म्हयनō,म्हयनो,neutral,word
वर्स,वर्स,neutral,word
स्थaaन,स्थान,neutral,word
स्थaन,स्थान,neutral,word
स्थAन,स्थान,neutral,word
जahगow,जागो,neutral,word
जaगo,जागो,neutral,word
जahगō,जागो,neutral,word
जaaगo,जागो,neutral,word
जaगō,जागो,neutral,word
ठिकaaण,ठिकाण,neutral,word
ठिकaण,ठिकाण,neutral,word
स्थळ,स्थळ,neutral,word
प्रदeyś,प्रदेश,neutral,word
